,h3_index,h3_address,latitude,longitude,geometry,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
0,1,876520c18ffffff,1.290950252612031,103.6287058964396,"POLYGON ((103.64169005775774 1.2873769441504466, 103.63852421381186 1.300434136790219, 103.62553931115505 1.3040080908200844, 103.61572068161026 1.2945237746779366, 103.61888770915346 1.2814663854422002, 103.63187218286231 1.2778935087518775, 103.64169005775774 1.2873769441504466))",12.326084,5.1902556,9.391261,14.29386,37.91628,31.855322,32.786774,36.069042,86.242645,36.048134,107.84753,62.45464,60.929604,25.99034,16.809061,4.5054207
1,3,876520c82ffffff,1.4154944308718704,103.7075866816093,"POLYGON ((103.72057022657783 1.4119152767301706, 103.7174074765655 1.4249797243094533, 103.70442318829011 1.428559523907614, 103.69460207486549 1.4190737939958327, 103.69776601216331 1.4060091394843603, 103.71074987581753 1.4024304216247523, 103.72057022657783 1.4119152767301706))",14.167109,15.209727,21.488907,28.172117,46.74849,96.95553,120.857925,90.12682,327.1714,321.1414,394.53622,512.8694,495.7461,33.056507,33.802418,11.697658
2,7,876520d99ffffff,1.3264015173915378,103.76549542262585,"POLYGON ((103.77847131144851 1.3228268937153145, 103.77531258687033 1.335882862500946, 103.76233595412299 1.3394581377316632, 103.75251846714404 1.329976356569883, 103.75567838039409 1.3169201785387707, 103.76865459216745 1.313345990722474, 103.77847131144851 1.3228268937153145))",973.63635,534.8907,245.65514,272.00946,359.8018,442.27454,426.55368,371.38812,449.16946,623.614,790.3696,659.44415,307.36548,267.39496,164.66539,65.13695
3,9,876520d81ffffff,1.2706139747617604,103.79110322041952,"POLYGON ((103.80407506487525 1.267042182687771, 103.80091828010843 1.2800931115256649, 103.78794569153153 1.283665558399708, 103.7781303072572 1.2741859861099638, 103.78128828118618 1.2611348474898654, 103.79426045044312 1.257563490749041, 103.80407506487525 1.267042182687771))",288.25046,93.83793,45.25874,92.2938,171.47353,129.26543,135.89128,131.1687,202.7354,243.77449,311.16238,397.1254,112.532135,57.255123,61.13934,15.415363
4,10,876520ca0ffffff,1.3371266791907517,103.72656136100385,"POLYGON ((103.73954044620316 1.3335514106898634, 103.73637949048889 1.3466093317258558, 103.72339966200339 1.350185249367376, 103.71358121274734 1.340702161511573, 103.71674335584503 1.3276440342212938, 103.72972276103219 1.324069200848668, 103.73954044620316 1.3335514106898634))",599.7049,279.9063,193.5208,192.81528,292.96716,279.58008,257.179,268.99857,274.4916,187.467,502.6501,328.65344,204.06337,128.49214,101.40461,48.77415
5,11,876520c12ffffff,1.3086787723994355,103.69710772080288,"POLYGON ((103.71008776365164 1.3051048079733312, 103.70692547558666 1.3181613981725244, 103.69394469010263 1.321736011161814, 103.68412661786236 1.3122529513782275, 103.68729009206783 1.2991961582570106, 103.7002704525903 1.2956226276488272, 103.71008776365164 1.3051048079733312))",32.065525,9.838885,29.94688,51.771187,29.242655,73.294556,57.763287,136.99892,159.83148,301.4005,247.28064,207.59532,110.07688,49.421825,16.22131,7.0165834
6,12,876520c1affffff,1.313492423052968,103.63535807098395,"POLYGON ((103.64834266069616 1.3099180366214154, 103.64517696052282 1.3229767700210442, 103.63219162925101 1.3265518015997146, 103.62237242698568 1.3170670220373648, 103.62553931115505 1.3040080908200844, 103.63852421381186 1.300434136790219, 103.64834266069616 1.3099180366214154))",10.523396,3.8935838,6.6358194,17.430252,26.31871,32.12054,32.711792,42.764675,57.618973,33.802364,95.17756,125.66261,41.50045,29.95569,9.316463,0.8240958
7,14,876520c1cffffff,1.2743208464719205,103.6448556028446,"POLYGON ((103.65783796789539 1.2707483991629085, 103.65467316435945 1.2838038498541515, 103.64169005775774 1.2873769441504466, 103.63187218286231 1.2778935087518775, 103.63503817044614 1.2648378605776014, 103.64802084909542 1.2612658450921708, 103.65783796789539 1.2707483991629085))",190.72878,54.825474,65.59101,85.22544,173.62445,168.32825,118.549805,96.09609,63.24171,109.02061,331.04196,70.846664,50.823124,122.91148,77.60239,20.085085
8,15,876520d82ffffff,1.299051408114956,103.82054875855754,"POLYGON ((103.83351962398848 1.295478307425089, 103.83036417616988 1.3085305652330137, 103.81739256597116 1.3121043213006798, 103.80757682146245 1.3026247273489049, 103.81073345967906 1.2895722564279495, 103.82370465222179 1.2859995923792649, 103.83351962398848 1.295478307425089))",370.57156,203.66443,101.48345,85.535164,103.89256,99.728264,124.3895,135.25774,154.57594,305.93655,287.2633,93.68887,102.7221,105.69904,100.35577,40.066204
9,22,876526ac3ffffff,1.3344752827101356,103.95724013927196,"POLYGON ((103.97020253534912 1.3309008672958413, 103.96705424746357 1.3439518022290973, 103.95409110407412 1.3475268789823043, 103.94427665846267 1.3380499185656511, 103.94742614175246 1.3249987578933569, 103.96038887546295 1.3214247831844887, 103.97020253534912 1.3309008672958413))",207.43953,94.95075,65.21615,80.90741,130.47458,100.89421,127.956116,144.89287,221.65366,363.3638,292.69217,365.8768,175.9649,120.201645,87.35534,30.097403
