,h3_index,h3_address,latitude,longitude,geometry,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
0,1,876520c18ffffff,1.290950252612031,103.6287058964396,"POLYGON ((103.64169005775774 1.2873769441504466, 103.63852421381186 1.300434136790219, 103.62553931115505 1.3040080908200844, 103.61572068161026 1.2945237746779366, 103.61888770915346 1.2814663854422002, 103.63187218286231 1.2778935087518775, 103.64169005775774 1.2873769441504466))",29.256376,37.549988,86.04436,59.792233,139.82265,297.41885,266.74005,123.56099,196.15976,194.87593,170.57341,66.791275,35.626865,37.068604,35.91767,12.241893
1,3,876520c82ffffff,1.4154944308718704,103.7075866816093,"POLYGON ((103.72057022657783 1.4119152767301706, 103.7174074765655 1.4249797243094533, 103.70442318829011 1.428559523907614, 103.69460207486549 1.4190737939958327, 103.69776601216331 1.4060091394843603, 103.71074987581753 1.4024304216247523, 103.72057022657783 1.4119152767301706))",27.42732,41.774292,95.369644,61.763103,60.772522,51.10413,30.978437,58.317276,24.046183,88.82896,35.742073,33.583977,32.449066,6.005835,2.0555952,1.1090852
2,7,876520d99ffffff,1.3264015173915378,103.76549542262585,"POLYGON ((103.77847131144851 1.3228268937153145, 103.77531258687033 1.335882862500946, 103.76233595412299 1.3394581377316632, 103.75251846714404 1.329976356569883, 103.75567838039409 1.3169201785387707, 103.76865459216745 1.313345990722474, 103.77847131144851 1.3228268937153145))",364.67465,631.2452,615.94653,764.7006,612.88995,710.363,534.7955,512.4373,691.0728,959.19257,614.04114,672.5581,432.71603,439.89713,226.95616,99.31978
3,9,876520d81ffffff,1.2706139747617604,103.79110322041952,"POLYGON ((103.80407506487525 1.267042182687771, 103.80091828010843 1.2800931115256649, 103.78794569153153 1.283665558399708, 103.7781303072572 1.2741859861099638, 103.78128828118618 1.2611348474898654, 103.79426045044312 1.257563490749041, 103.80407506487525 1.267042182687771))",249.90736,130.14272,189.09045,231.83015,193.64178,153.81293,157.65132,262.67233,225.04936,590.50696,336.5182,450.43558,181.08162,91.336136,78.58074,52.264084
4,10,876520ca0ffffff,1.3371266791907517,103.72656136100385,"POLYGON ((103.73954044620316 1.3335514106898634, 103.73637949048889 1.3466093317258558, 103.72339966200339 1.350185249367376, 103.71358121274734 1.340702161511573, 103.71674335584503 1.3276440342212938, 103.72972276103219 1.324069200848668, 103.73954044620316 1.3335514106898634))",371.97717,504.84467,569.64355,497.69183,526.9364,400.96347,367.83588,350.88013,343.02475,549.6455,413.9692,437.55237,377.4215,244.76775,143.03934,76.656906
5,11,876520c12ffffff,1.3086787723994355,103.69710772080288,"POLYGON ((103.71008776365164 1.3051048079733312, 103.70692547558666 1.3181613981725244, 103.69394469010263 1.321736011161814, 103.68412661786236 1.3122529513782275, 103.68729009206783 1.2991961582570106, 103.7002704525903 1.2956226276488272, 103.71008776365164 1.3051048079733312))",62.415783,63.893753,66.76991,206.33388,161.85489,100.64528,229.90462,229.09262,286.49927,810.0747,295.47482,185.3609,118.822655,46.943172,46.77846,17.74869
6,12,876520c1affffff,1.313492423052968,103.63535807098395,"POLYGON ((103.64834266069616 1.3099180366214154, 103.64517696052282 1.3229767700210442, 103.63219162925101 1.3265518015997146, 103.62237242698568 1.3170670220373648, 103.62553931115505 1.3040080908200844, 103.63852421381186 1.300434136790219, 103.64834266069616 1.3099180366214154))",48.355957,46.91972,61.584805,84.45347,137.3552,111.836914,135.06963,88.32837,116.9205,288.41736,139.4216,77.46628,30.910154,33.601734,20.211226,5.6579313
7,14,876520c1cffffff,1.2743208464719205,103.6448556028446,"POLYGON ((103.65783796789539 1.2707483991629085, 103.65467316435945 1.2838038498541515, 103.64169005775774 1.2873769441504466, 103.63187218286231 1.2778935087518775, 103.63503817044614 1.2648378605776014, 103.64802084909542 1.2612658450921708, 103.65783796789539 1.2707483991629085))",111.43255,354.67648,122.22171,319.0557,225.59767,258.437,218.61304,194.851,73.90459,326.23788,197.10577,128.62718,38.314568,77.893654,43.927986,9.139026
8,15,876520d82ffffff,1.299051408114956,103.82054875855754,"POLYGON ((103.83351962398848 1.295478307425089, 103.83036417616988 1.3085305652330137, 103.81739256597116 1.3121043213006798, 103.80757682146245 1.3026247273489049, 103.81073345967906 1.2895722564279495, 103.82370465222179 1.2859995923792649, 103.83351962398848 1.295478307425089))",129.1993,257.6614,258.72382,252.44386,190.67719,126.906525,126.55559,186.49654,248.74345,293.73273,279.0291,188.09157,131.10837,141.25522,94.97053,43.17734
9,22,876526ac3ffffff,1.3344752827101356,103.95724013927196,"POLYGON ((103.97020253534912 1.3309008672958413, 103.96705424746357 1.3439518022290973, 103.95409110407412 1.3475268789823043, 103.94427665846267 1.3380499185656511, 103.94742614175246 1.3249987578933569, 103.96038887546295 1.3214247831844887, 103.97020253534912 1.3309008672958413))",119.753204,124.095215,158.22012,168.63536,145.1975,181.54594,174.37068,201.0451,164.33719,394.45868,341.8935,291.20737,290.8809,276.8444,201.18692,55.196056
10,23,876526adeffffff,1.379534338484916,103.97057188982868,"POLYGON ((103.98353510381529 1.3759577175196456, 103.98038711497819 1.389011708307291, 103.96742315324207 1.3925889897791597, 103.95760758956119 1.383111177807305, 103.9607567745932 1.3700569588201732, 103.97372032732454 1.36648077981233, 103.98353510381529 1.3759577175196456))",61.77685,91.25677,111.0479,160.25496,165.68854,86.84996,95.74326,115.605965,192.05145,157.18927,204.98334,129.11497,59.354237,36.368343,35.42552,11.820064
11,24,876520cadffffff,1.319401950750233,103.65816123651842,"POLYGON ((103.671144456033 1.31582734434885, 103.66797994070448 1.3288858778212336, 103.65499597919747 1.3324611303687082, 103.64517696052282 1.3229767700210442, 103.64834266069616 1.3099180366214154, 103.66132619491715 1.3063438633041449, 103.671144456033 1.31582734434885))",97.05478,40.14357,144.74771,199.96788,180.40453,321.86786,200.37825,180.45186,364.43872,204.32121,415.66818,161.8495,102.27336,75.49655,51.285328,44.729675
12,26,87652635dffffff,1.4675638200554353,103.82825359585568,"POLYGON ((103.84123060161896 1.4639824344793546, 103.83807394791846 1.4770473293429423, 103.82509619648327 1.4806293649457694, 103.81527551659636 1.4711454151626169, 103.81843336219295 1.4580803015846902, 103.83141069599597 1.4544993563124489, 103.84123060161896 1.4639824344793546))",247.18811,214.6214,171.98865,214.71663,158.08023,212.7659,599.84143,512.98535,422.19418,556.86224,1343.7158,453.9358,137.55797,126.12413,160.46724,53.33942
