,h3_index,h3_address,latitude,longitude,geometry,weekday_00,weekday_01,weekday_02,weekday_03,weekday_04,weekday_05,weekday_06,weekday_07,weekday_08,weekday_09,weekday_10,weekday_11,weekday_12,weekday_13,weekday_14,weekday_15,weekday_16,weekday_17,weekday_18,weekday_19,weekday_20,weekday_21,weekday_22,weekday_23,weekend_00,weekend_01,weekend_02,weekend_03,weekend_04,weekend_05,weekend_06,weekend_07,weekend_08,weekend_09,weekend_10,weekend_11,weekend_12,weekend_13,weekend_14,weekend_15,weekend_16,weekend_17,weekend_18,weekend_19,weekend_20,weekend_21,weekend_22,weekend_23
0,1,876520c18ffffff,1.2909502526120307,103.62870589643961,"POLYGON ((103.64169005775774 1.2873769441504466, 103.63852421381186 1.300434136790219, 103.62553931115505 1.3040080908200844, 103.61572068161026 1.2945237746779366, 103.61888770915346 1.2814663854422002, 103.63187218286231 1.2778935087518775, 103.64169005775774 1.2873769441504466))",0.03225806451612903,0.0,0.0,0.0,0.0,0.0,365.4,40.93877551020408,11.080357142857142,6.201834862385321,9.375,16.25,52.45454545454545,30.08823529411765,34.1025641025641,35.34782608695652,103.94285714285714,100.33333333333333,103.0,63.03703703703704,61.82222222222222,28.075,17.037037037037038,4.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,87.875,85.53846153846153,27.580645161290324,39.92,83.91666666666667,131.125,389.3333333333333,445.5,252.5,131.71428571428572,176.0,185.44444444444446,168.5,71.75,35.9,35.09090909090909,38.166666666666664,11.75
1,2,876526aeaffffff,1.2894240767550547,103.94391122096596,"POLYGON ((103.9568727977856 1.285851866048183, 103.9537242113904 1.2988997303013095, 103.9407618876957 1.3024726031770553, 103.93094856096236 1.2929965099862004, 103.93409834197121 1.2799484224529838, 103.94706025531336 1.2763766511982364, 103.9568727977856 1.285851866048183))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,876520c82ffffff,1.4154944308718704,103.7075866816093,"POLYGON ((103.72057022657783 1.4119152767301706, 103.7174074765655 1.4249797243094533, 103.70442318829011 1.428559523907614, 103.69460207486549 1.4190737939958327, 103.69776601216331 1.4060091394843603, 103.71074987581753 1.4024304216247523, 103.72057022657783 1.4119152767301706))",0.0,0.0,0.0,0.0,0.0,0.0,23.5,20.6,12.894736842105264,14.421052631578947,25.363636363636363,31.785714285714285,154.66666666666666,93.14285714285714,117.85714285714286,145.42857142857142,461.5,1168.0,374.0,543.5,482.0,31.833333333333332,29.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,46.0,145.0,38.0,93.0,58.333333333333336,56.0,49.0,28.5,60.0,25.0,110.0,35.5,79.0,34.0,6.0,1.4285714285714286,1.0
3,4,87652632effffff,1.4305001165107276,104.0066865033127,"POLYGON ((104.01964910323045 1.42692106210811, 104.01650261179525 1.439977861137401, 104.00353926327007 1.4435575762051256, 103.99372281339205 1.4340793875043907, 103.99687050264168 1.421022355708103, 104.00983344416788 1.417443745187753, 104.01964910323045 1.42692106210811))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,876520c93ffffff,1.4605980340768108,103.72090288774456,"POLYGON ((103.7338872805112 1.457016714997125, 103.73072482111928 1.4700841983438877, 103.71773968460458 1.4736661620324671, 103.7079174316514 1.464179560035246, 103.71108107912544 1.4511118673061374, 103.7240657916877 1.4475309857646879, 103.7338872805112 1.457016714997125))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,876520c35ffffff,1.2078293338823802,103.70942604379509,"POLYGON ((103.72240120748322 1.2042603589897762, 103.7192405674388 1.217308808246217, 103.70626466135577 1.2208784357867877, 103.69644981950725 1.2113985291990155, 103.69961164539326 1.1983498789224682, 103.71258712750303 1.1947813360608033, 103.72240120748322 1.2042603589897762))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7,876520d99ffffff,1.3264015173915378,103.76549542262585,"POLYGON ((103.77847131144851 1.3228268937153145, 103.77531258687033 1.335882862500946, 103.76233595412299 1.3394581377316632, 103.75251846714404 1.329976356569883, 103.75567838039409 1.3169201785387707, 103.76865459216745 1.313345990722474, 103.77847131144851 1.3228268937153145))",8.513994910941475,0.0,0.0,0.0,0.0,41.78339350180505,523.5095057034221,1003.231939163498,1285.2259615384614,563.4182509505704,245.3826530612245,270.469696969697,352.2934131736527,410.1798780487805,421.52962962962965,389.63081395348837,438.4191616766467,815.0985401459855,906.2033898305085,647.6704980842912,298.85822784810125,261.2715404699739,161.9035532994924,65.09647058823529,11.293333333333333,0.0,0.0,0.0,0.0,18.391666666666666,237.9746835443038,389.2823529411765,536.9268292682926,647.8181818181819,602.8795180722891,720.7341772151899,627.8817204301075,664.4090909090909,543.2020202020202,545.0309278350516,652.952380952381,937.1384615384616,635.0106382978723,625.9146341463414,434.2475247524753,416.4725274725275,240.2037037037037,94.90322580645162
7,8,876520da0ffffff,1.2207570221427873,103.8394796375277,"POLYGON ((103.85244603444121 1.2171878665045002, 103.84929237977984 1.2302335159545545, 103.83632523812416 1.233803330621295, 103.82651216768427 1.2243264011318111, 103.82966701283286 1.2112805392654682, 103.84263373814909 1.2077118191120462, 103.85244603444121 1.2171878665045002))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,876520d81ffffff,1.2706139747617604,103.79110322041952,"POLYGON ((103.80407506487525 1.267042182687771, 103.80091828010843 1.2800931115256649, 103.78794569153153 1.283665558399708, 103.7781303072572 1.2741859861099638, 103.78128828118618 1.2611348474898654, 103.79426045044312 1.257563490749041, 103.80407506487525 1.267042182687771))",3.897590361445783,0.0,0.0,0.0,0.0,11.236842105263158,351.5238095238095,278.0,271.6860465116279,89.5,43.97165991902834,90.7516339869281,195.46315789473684,166.19540229885058,125.47872340425532,127.72727272727273,253.02197802197801,757.0875,751.765306122449,368.50943396226415,116.68789808917198,57.050561797752806,60.47154471544715,15.945,6.864864864864865,0.0,0.0,0.0,0.0,5.6,52.9,513.625,248.75,133.75862068965517,201.6818181818182,219.63636363636363,199.85185185185185,144.4857142857143,156.75,245.16666666666666,303.6666666666667,643.3333333333334,371.7142857142857,430.3333333333333,181.65217391304347,88.85185185185185,75.7,54.55
9,10,876520ca0ffffff,1.3371266791907517,103.72656136100383,"POLYGON ((103.73954044620316 1.3335514106898634, 103.73637949048889 1.3466093317258558, 103.72339966200339 1.350185249367376, 103.71358121274734 1.340702161511573, 103.71674335584503 1.3276440342212938, 103.72972276103219 1.324069200848668, 103.73954044620316 1.3335514106898634))",14.36298076923077,0.0,0.0,0.0,0.0,139.10897435897436,560.313829787234,1146.8006329113923,933.7694805194806,269.6140350877193,197.79368421052632,188.5043103448276,269.3988095238095,270.2857142857143,268.74603174603175,250.2721088435374,247.38663967611336,452.79759036144577,522.0266990291262,307.13084112149534,198.66157205240174,137.55911823647295,109.2829373650108,50.773092369477915,16.818181818181817,0.0,0.0,0.0,0.0,56.286764705882355,239.08759124087592,389.0403225806452,561.4444444444445,598.7368421052631,528.0454545454545,496.08474576271186,507.3070175438597,397.32824427480915,364.6031746031746,368.06976744186045,362.3805970149254,506.12820512820514,418.97014925373134,415.5740740740741,357.30841121495325,242.56451612903226,153.42857142857142,73.05113636363636
