,geometry,latitude,longitude,weekday_00,weekday_05,weekday_06,weekday_07,weekday_08,weekday_09,weekday_10,weekday_11,weekday_12,weekday_13,weekday_14,weekday_15,weekday_16,weekday_17,weekday_18,weekday_19,weekday_20,weekday_21,weekday_22,weekday_23,weekend_00,weekend_05,weekend_06,weekend_07,weekend_08,weekend_09,weekend_10,weekend_11,weekend_12,weekend_13,weekend_14,weekend_15,weekend_16,weekend_17,weekend_18,weekend_19,weekend_20,weekend_21,weekend_22,weekend_23
0,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0
2,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4401,0,0,0,0,0
8,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3796,0,0,0,0,0,0,0,0,0,0,0
10,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,0,0,0
14,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0
16,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,0,0,0,0,0,0,0,0,0,0,0,0
19,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,1518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,2390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4740,0,0,0,0,0,0,0
22,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102
25,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2687,0,0,0,0,0,0,0,0,0
29,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,3687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,0,0
32,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2764,0,0,0,0,0,0,0,0
33,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,2207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371,0,0,0,0
36,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1600,0,0,0,0,0,0,0,0,0,0
37,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,2362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,POINT (103.8628597696374 1.27133671132917),1.2713367113291696,103.86285976963735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3941,0,0,0,0,0,0
40,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3741,0,0,0,0,0
43,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,14089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3968,0,0,0,0,0,0,0,0,0
46,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1771,0,0,0
47,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4367,0,0,0,0,0,0,0,0,0,0
49,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,11127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,12065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4478,0,0,0,0,0,0,0
52,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3729,0,0,0,0,0,0,0,0
53,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,13355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,16200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,12946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,6099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,POINT (103.8260244022438 1.32006555700673),1.3200655570067297,103.8260244022438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4075,0,0,0,0,0,0,0,0,0,0,0,0,0
