YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-04,WEEKDAY,22,TRAIN,NS28,901,457
2024-04,WEEKENDS/HOLIDAY,22,TRAIN,NS28,287,192
2024-04,WEEKENDS/HOLIDAY,0,TRAIN,DT10/TE11,37,204
2024-04,WEEKDAY,0,TRAIN,DT10/TE11,74,343
2024-04,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3/TE17,8751,10141
2024-04,WEEKDAY,10,TRAIN,EW16/NE3/TE17,26579,36857
2024-04,WEEKENDS/HOLIDAY,9,TRAIN,CC14,3725,1827
2024-04,WEEKDAY,9,TRAIN,CC14,11849,8192
2024-04,WEEKDAY,14,TRAIN,EW27,31232,37245
2024-04,WEEKENDS/HOLIDAY,14,TRAIN,EW27,21848,22394
2024-04,WEEKDAY,0,TRAIN,NS27/CE2/TE20,28,143
2024-04,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2/TE20,4,84
2024-04,WEEKENDS/HOLIDAY,18,TRAIN,DT27,5264,4668
2024-04,WEEKDAY,18,TRAIN,DT27,39356,22019
2024-04,WEEKDAY,11,TRAIN,NS7,21398,14582
2024-04,WEEKENDS/HOLIDAY,11,TRAIN,NS7,11244,11825
2024-04,WEEKDAY,16,TRAIN,SW4,2172,3919
2024-04,WEEKENDS/HOLIDAY,16,TRAIN,SW4,1248,1498
2024-04,WEEKDAY,10,TRAIN,CC5,2554,5090
2024-04,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1451,2270
2024-04,WEEKENDS/HOLIDAY,13,TRAIN,CC23,2424,2424
2024-04,WEEKDAY,13,TRAIN,CC23,14575,17961
2024-04,WEEKENDS/HOLIDAY,22,TRAIN,EW33,695,1640
2024-04,WEEKDAY,22,TRAIN,EW33,1189,2736
2024-04,WEEKDAY,14,TRAIN,CC21,10280,9574
2024-04,WEEKENDS/HOLIDAY,14,TRAIN,CC21,6337,5279
2024-04,WEEKENDS/HOLIDAY,12,TRAIN,TE16,3642,2741
2024-04,WEEKDAY,12,TRAIN,TE16,6604,4573
2024-04,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,46751,46512
2024-04,WEEKDAY,18,TRAIN,EW24/NS1,236222,170247
2024-04,WEEKDAY,7,TRAIN,NE10,30608,43728
2024-04,WEEKENDS/HOLIDAY,7,TRAIN,NE10,3977,3232
2024-04,WEEKENDS/HOLIDAY,8,TRAIN,EW22,2257,2246
2024-04,WEEKDAY,8,TRAIN,EW22,17384,61511
2024-04,WEEKENDS/HOLIDAY,14,TRAIN,CC16,3337,2758
2024-04,WEEKDAY,14,TRAIN,CC16,9211,6622
2024-04,WEEKENDS/HOLIDAY,10,TRAIN,EW11,9781,8816
2024-04,WEEKDAY,10,TRAIN,EW11,20429,18055
2024-04,WEEKDAY,6,TRAIN,NS24/NE6/CC1,3898,9263
2024-04,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,1058,2142
2024-04,WEEKENDS/HOLIDAY,22,TRAIN,TE15,3108,1300
2024-04,WEEKDAY,22,TRAIN,TE15,6635,3151
2024-04,WEEKENDS/HOLIDAY,0,TRAIN,EW19,58,305
2024-04,WEEKDAY,0,TRAIN,EW19,140,809
2024-04,WEEKDAY,10,TRAIN,EW21/CC22,13032,22988
2024-04,WEEKENDS/HOLIDAY,10,TRAIN,EW21/CC22,10113,8261
2024-04,WEEKENDS/HOLIDAY,8,TRAIN,CC8,3723,3000
2024-04,WEEKDAY,8,TRAIN,CC8,27343,11266
2024-04,WEEKDAY,17,TRAIN,NE7/DT12,49214,36052
2024-04,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,23827,26383
2024-04,WEEKENDS/HOLIDAY,17,TRAIN,EW33,3106,2398
2024-04,WEEKDAY,17,TRAIN,EW33,16273,8334
2024-04,WEEKENDS/HOLIDAY,7,TRAIN,BP10,1247,613
2024-04,WEEKDAY,7,TRAIN,BP10,14565,3162
2024-04,WEEKDAY,15,TRAIN,NE10,19014,15903
2024-04,WEEKENDS/HOLIDAY,15,TRAIN,NE10,6999,7274
2024-04,WEEKENDS/HOLIDAY,18,TRAIN,EW22,2570,2907
2024-04,WEEKDAY,18,TRAIN,EW22,31069,26670
2024-04,WEEKENDS/HOLIDAY,15,TRAIN,CC25,2909,2261
2024-04,WEEKDAY,15,TRAIN,CC25,6695,5029
2024-04,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,10965,25545
2024-04,WEEKDAY,12,TRAIN,CE1/DT16,19616,38695
2024-04,WEEKENDS/HOLIDAY,10,TRAIN,SW6,2442,1000
2024-04,WEEKDAY,10,TRAIN,SW6,3950,1547
2024-04,WEEKENDS/HOLIDAY,17,TRAIN,DT31,4039,4082
2024-04,WEEKDAY,17,TRAIN,DT31,13181,18048
2024-04,WEEKENDS/HOLIDAY,15,TRAIN,CC14,2588,3102
2024-04,WEEKDAY,15,TRAIN,CC14,11723,8169
2024-04,WEEKENDS/HOLIDAY,0,TRAIN,NS8,453,1233
2024-04,WEEKDAY,0,TRAIN,NS8,672,3232
2024-04,WEEKDAY,18,TRAIN,NS14,49176,110684
2024-04,WEEKENDS/HOLIDAY,18,TRAIN,NS14,15076,16862
2024-04,WEEKENDS/HOLIDAY,12,TRAIN,EW17,13595,12063
2024-04,WEEKDAY,12,TRAIN,EW17,22420,24530
2024-04,WEEKENDS/HOLIDAY,11,TRAIN,TE22,869,3719
2024-04,WEEKDAY,11,TRAIN,TE22,1869,4049
2024-04,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,246,1772
2024-04,WEEKDAY,0,TRAIN,NE17/PTC,517,3825
2024-04,WEEKDAY,13,TRAIN,BP12,3964,1617
2024-04,WEEKENDS/HOLIDAY,13,TRAIN,BP12,1239,789
2024-04,WEEKDAY,14,TRAIN,NS17/CC15,46373,40802
2024-04,WEEKENDS/HOLIDAY,14,TRAIN,NS17/CC15,22412,19987
2024-04,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,7227,6197
2024-04,WEEKDAY,16,TRAIN,CC10/DT26,15344,13413
2024-04,WEEKENDS/HOLIDAY,6,TRAIN,DT28,3534,1065
2024-04,WEEKDAY,6,TRAIN,DT28,17463,7519
2024-04,WEEKDAY,5,TRAIN,DT7,194,50
2024-04,WEEKENDS/HOLIDAY,5,TRAIN,DT7,18,3
2024-04,WEEKDAY,11,TRAIN,PW5,2202,1381
